Title,Your Rating,Date Rated,Year,Genres,Directors,URL
The Chestnut Man: Hide and Seek: Part 6,1,2026-05-12,2026,"Drama, Thriller, Crime, Mystery",Roni Ezra,https://www.imdb.com/title/tt33705269
The Day of the Jackal: Episode #1.10,1,2025-01-27,2024,"Drama, Thriller, Crime, Action",Anu Menon,https://www.imdb.com/title/tt29420663
The Gentlemen: The Gospel According to Bobby Glass,1,2025-01-06,2024,"Action, Comedy, Crime",David Caffrey,https://www.imdb.com/title/tt29005169
The Handmaid's Tale: The Wilderness,1,2022-12-04,2021,"Drama, Thriller, Sci-Fi",Liz Garbus,https://www.imdb.com/title/tt11563912
The Night Manager: Episode #2.6,1,2026-04-13,2026,"Drama, Mystery, Thriller, Crime",Georgi Banks-Davies,https://www.imdb.com/title/tt38028385
The Rehearsal: My Controls,1,2026-03-11,2025,"Documentary, Comedy",Nathan Fielder,https://www.imdb.com/title/tt35934751
The Traitors UK: Episode #3.12,1,2025-04-23,2025,"Game-Show, Reality-TV","Abi Bourne,Norah Quartey,Chris Taylor,Ben Archard",https://www.imdb.com/title/tt35439818
The Vince Staples Show: White Boy,1,2024-12-28,2024,"Biography, Comedy, Music",Ben Younger,https://www.imdb.com/title/tt28943410
The White Lotus: Amor Fati,1,2025-04-18,2025,"Comedy, Drama, Mystery",Mike White,https://www.imdb.com/title/tt35047996
Trapped: Episode #3.8,1,2024-10-29,2021,"Crime, Drama, Thriller, Mystery",Baltasar Kormákur,https://www.imdb.com/title/tt14572846
Tsurune: Resounding Release,1,2025-02-11,2023,"Animation, Drama, Sport",Takuya Yamamura,https://www.imdb.com/title/tt27368353
Untold: Malice at the Palace,6,2021-08-25,2021,"Documentary, Biography, Sport, Crime",Floyd Russ,https://www.imdb.com/title/tt15085802
Untold: Caitlyn Jenner,6,2021-08-29,2021,"Documentary, Biography, Sport, Crime",Crystal Moselle,https://www.imdb.com/title/tt15101946
Untold: Crimes and Penalties (Danbury Trashers),6,2021-09-05,2021,"Documentary, Biography, Sport, Crime","Chapman Way,Maclain Way",https://www.imdb.com/title/tt15101956
Untold: Breaking Point,7,2021-09-24,2021,"Documentary, Biography, Sport, Crime","Chapman Way,Maclain Way",https://www.imdb.com/title/tt15101938
Untold: The Rise and Fall of AND1,6,2022-08-24,2022,"Documentary, Biography, Sport, Crime",Kevin Wilson Jr.,https://www.imdb.com/title/tt21388560
Untold: Operation Flagrant Foul,6,2022-09-05,2022,"Documentary, Biography, Sport, Crime",David Terry Fine,https://www.imdb.com/title/tt21448508
Untold: Johnny Football,7,2023-08-14,2023,"Documentary, Biography, Sport, Crime",Ryan Duffy,https://www.imdb.com/title/tt21805958
Untold: Chess Mates,6,2026-04-16,2026,"Documentary, Biography, Sport, Crime",Thomas Tancred,https://www.imdb.com/title/tt40224399
Vinland Saga: Hometown,1,2024-08-17,2023,"Animation, Action, Adventure, History, Drama","Kento Matsui,Shûhei Yabuta",https://www.imdb.com/title/tt27589545
Violet Evergarden: Loved Ones Will Always Watch Over You,10,2026-07-18,2018,"Animation, Drama, Sci-Fi, Fantasy, Romance","Haruka Fujita,Taichi Ishidate,Taiichi Ogawa",https://www.imdb.com/title/tt8142470
Wednesday: This Means Woe,1,2025-09-15,2025,"Comedy, Fantasy, Mystery, Crime, Horror",Tim Burton,https://www.imdb.com/title/tt33310268
Westworld: The Bicameral Mind,1,2022-12-04,2016,"Sci-Fi, Drama, Mystery",Jonathan Nolan,https://www.imdb.com/title/tt5229638
Yellowjackets: Storytelling,1,2024-02-18,2023,"Drama, Mystery, Thriller, Horror",Karyn Kusama,https://www.imdb.com/title/tt26897933
Zom 100: Bucket List of the Dead: Hometown of the Dead III,1,2024-08-17,2023,"Animation, Comedy, Fantasy, Horror, Sci-Fi, Action, Adventure",,https://www.imdb.com/title/tt28106675
